iter	RMSE
0	736.7237701
1	705.2193481
2	675.1009353
3	647.9062499
4	622.1529271
5	597.2297096
6	574.0420815
7	552.1099073
8	531.6422071
9	512.9804204
10	495.4837001
11	478.4659154
12	462.822551
13	448.8068906
14	436.5619492
15	423.6514373
16	412.2778944
17	400.5104924
18	390.6601561
19	381.2446165
20	372.3186369
21	364.6454943
22	356.4793114
23	349.6216455
24	343.5150854
25	336.8443264
26	330.9036321
27	325.0193318
28	320.6940538
29	315.2325696
30	310.6012967
31	306.5282066
32	303.6518695
33	300.6767744
34	296.6525251
35	293.5747097
36	290.911348
37	287.7016826
38	285.3563833
39	283.1792324
40	280.9708725
41	278.8780928
42	277.1889991
43	275.0860398
44	273.1517691
45	271.8554998
46	270.23706
47	268.9522639
48	267.4854863
49	265.7564924
50	263.6412624
51	261.9846727
52	261.1177152
53	260.0632552
54	258.9957023
55	257.3662452
56	255.846874
57	254.5253075
58	253.3276029
59	252.3568565
60	251.2446698
61	250.5055022
62	249.6685941
63	248.759528
64	247.3468762
65	246.4228932
66	244.8848477
67	243.6193014
68	242.8806804
69	242.2142653
70	241.6881541
71	240.4790969
72	239.5955061
73	238.6230519
74	237.8730757
75	237.0098216
76	236.3818221
77	235.5951666
78	235.183948
79	234.3634221
80	233.989166
81	233.1503675
82	232.4370361
83	231.7977931
84	231.3696473
85	230.7421572
86	230.3052231
87	229.962004
88	229.3879254
89	228.7677154
90	228.1995464
91	227.8622504
92	227.2856104
93	226.9891992
94	226.2247439
95	225.9973789
96	225.3076789
97	225.0014164
98	224.2555582
99	223.8256832
100	223.6450567
101	223.1874167
102	222.0810747
103	221.633623
104	221.0780974
105	220.0282525
106	219.6215583
107	219.3529766
108	218.7530595
109	218.3289384
110	217.9890606
111	217.2359272
112	216.8577976
113	216.0623279
114	215.7590485
115	215.3665312
116	214.89038
117	214.5600702
118	213.9383772
119	213.6906337
120	213.2313823
121	212.6765119
122	211.9647205
123	211.385303
124	211.0504363
125	210.7770133
126	210.2577408
127	209.8219761
128	209.3433926
129	209.1319913
130	208.4837592
131	208.0333977
132	207.5741144
133	207.2819344
134	207.061974
135	206.3313267
136	206.1835818
137	205.8205228
138	205.4866964
139	204.8557913
140	204.5547223
141	203.9589468
142	203.2596695
143	202.9849767
144	202.6203355
145	202.2143502
146	201.8923055
147	201.7128855
148	201.4084272
149	200.9495276
150	200.8109591
151	200.7238326
152	200.488077
153	200.1179085
154	199.751307
155	199.0110915
156	198.4703321
157	198.1113411
158	197.599928
159	197.4477682
160	196.9822432
161	196.5222339
162	196.1155135
163	195.4773175
164	195.2616797
165	194.8315524
166	194.3993824
167	194.0587237
168	193.8415731
169	193.4465812
170	193.0084159
171	192.7056152
172	192.5399092
173	192.0811083
174	191.8276275
175	191.5215993
176	191.0878994
177	190.6704096
178	190.5258719
179	190.1648483
180	189.6924483
181	189.5838608
182	189.4673424
183	189.3467398
184	189.0096751
185	188.6501081
186	188.3943502
187	188.066018
188	187.6072611
189	187.2135734
190	187.0772017
191	186.7053776
192	186.3376941
193	186.0989251
194	185.7807163
195	185.5770967
196	185.1945673
197	184.8586965
198	184.6181036
199	184.1540997
200	183.7567997
201	183.5610688
202	183.4539147
203	183.1156598
204	182.8257048
205	182.529634
206	182.3132077
207	182.1863435
208	181.8566278
209	181.733867
210	181.5471699
211	181.1828766
212	180.7562889
213	180.3803116
214	180.2370797
215	180.0628135
216	179.8563591
217	179.7048842
218	179.3170876
219	178.9381541
220	178.7437551
221	178.3504744
222	178.2323932
223	177.9081053
224	177.6630951
225	177.4850472
226	177.3861556
227	177.2132844
228	177.0430942
229	176.7550691
230	176.5913833
231	176.2385496
232	175.8469417
233	175.669026
234	175.3732328
235	175.0367779
236	174.8509103
237	174.526666
238	174.3526255
239	174.1865805
240	174.0804877
241	173.9933594
242	173.6155974
243	173.2903849
244	172.9846429
245	172.8784299
246	172.7274584
247	172.6138283
248	172.4390925
249	172.1921276
250	171.8433304
251	171.5521653
252	171.2535669
253	171.1142475
254	170.9511333
255	170.6690442
256	170.5777026
257	170.4505419
258	170.3534825
259	170.1156877
260	169.6602562
261	169.2844285
262	168.8206819
263	168.5703931
264	168.3485203
265	168.2295187
266	168.1028514
267	167.9270512
268	167.4970299
269	167.1132102
270	166.8734159
271	166.6835747
272	166.299606
273	166.1233262
274	165.9825125
275	165.7528579
276	165.5631028
277	165.3562486
278	165.1666319
279	164.9322221
280	164.7171047
281	164.6598314
282	164.4408041
283	164.3541677
284	164.08103
285	163.9174797
286	163.812806
287	163.6185851
288	163.4331646
289	163.097662
290	162.9487951
291	162.7773152
