dataset_source,track,reporting_phase,model_key,seed_count,MAE_median,MAE_std,RMSE_median,WMAPE_median,sMAPE_median,p90_error_median,failure_rate,training_duration,inference_latency,artifact_size,baseline_MAE,relative_mae_improvement_vs_baseline,paired_ci_lower,paired_ci_upper,promotion_status
bdg2,seen_entity,H00,catboost,3,49673.427909559556,587.9206028839878,95480.86367278178,0.5025345989737716,0.6988597043633858,123049.06599715506,0.0,46.720842799999446,0.0048434003350125675,494804,,,,,NOT_PROMOTED
bdg2,seen_entity,H00,deepar,3,,0.0,,,,,0.0,44.85892260000037,1.9221537672510707,4451245,,,,,NOT_PROMOTED
bdg2,seen_entity,H00,deterministic_baseline,1,,0.0,,,,,0.0,0.0,0.0005739174234775519,0,,,,,BASELINE
bdg2,seen_entity,H00,gradient_boosting,3,57255.52370101587,0.0,114195.12690716021,0.5792409111469031,0.7704838662320483,131764.22217975598,0.0,201.58616710000024,0.005996401451682709,144669,,,,,NOT_PROMOTED
bdg2,seen_entity,H00,lightgbm,3,50076.34937956775,216.3981077285158,125970.7023725578,0.5066108624383578,0.6213327912931039,122159.35684724626,0.0,6.865157700000054,0.013407032384143357,1330972,,,,,NOT_PROMOTED
bdg2,seen_entity,H00,nbeats,3,,0.0,,,,,0.0,44.91096430000107,1.653051504413853,4447799,,,,,NOT_PROMOTED
bdg2,seen_entity,H00,ridge,3,68300.13157254517,0.0,130153.0834771419,0.6909766584290713,0.8740512877713038,125688.60789803136,0.0,3.9944164999997156,0.009923570630932417,9042,,,,,NOT_PROMOTED
bdg2,seen_entity,H01_02,catboost,3,19696.8828011024,62.33950737040612,46631.77807840144,0.17470569956724824,0.39106063840111394,38095.380997486165,0.0,46.720842799999446,0.0048434003350125675,494804,9647.136059935898,-104.17336999011167,6718.897209622018,14567.191068575336,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H01_02,deepar,3,,0.0,,,,,0.0,44.85892260000037,1.9221537672510702,4451245,9647.136059935898,,,,NOT_PROMOTED
bdg2,seen_entity,H01_02,deterministic_baseline,1,9647.136059935898,0.0,23644.583617079596,0.08556732916526254,0.1316319548874639,21396.311399999988,0.0,0.0,0.02613333335014035,0,9647.136059935898,,,,BASELINE
bdg2,seen_entity,H01_02,gradient_boosting,3,22198.03915302405,0.0,38153.50072670293,0.19689023884699058,0.4062472656207037,44884.17052880341,0.0,201.58616710000024,0.00599640145168271,144669,9647.136059935898,-130.09978313886813,10007.869829172947,15474.623678514374,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H01_02,lightgbm,3,11040.147703357827,147.47469717465438,32799.76738592214,0.09792294279848826,0.13979083537201348,21920.02134870705,0.0,6.865157700000054,0.013407032384143354,1330972,9647.136059935898,-14.439639233523833,-423.1088295325826,4001.126110224202,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H01_02,nbeats,3,,0.0,,,,,0.0,44.91096430000107,1.6530515044138532,4447799,9647.136059935898,,,,NOT_PROMOTED
bdg2,seen_entity,H01_02,ridge,3,36496.421248697465,0.0,63563.099968829396,0.3237127859438658,0.7232088039384473,80383.32020574324,0.0,3.9944164999997156,0.009923570630932417,9042,9647.136059935898,-278.31353286562825,22220.00995365242,31867.223148511257,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H03_05,catboost,3,16536.213698999018,223.14342470187236,39028.57785300493,0.16210063033928943,0.37416492971923604,33221.63895374918,0.0,46.720842799999446,0.0048434003350125675,494804,11202.79594935065,-47.607916575125245,2535.908658613472,8212.041629494523,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H03_05,deepar,3,,0.0,,,,,0.0,44.85892260000037,1.9221537672510702,4451245,11202.79594935065,,,,NOT_PROMOTED
bdg2,seen_entity,H03_05,deterministic_baseline,1,11202.79594935065,0.0,35045.19725649306,0.10981838515198342,0.14880366274456905,23242.76249999999,0.0,0.0,0.16824902601096162,0,11202.79594935065,,,,BASELINE
bdg2,seen_entity,H03_05,gradient_boosting,3,19017.392471448948,7.858932438354848e-12,35359.95319849602,0.1864230447879455,0.3847868727592587,38674.71458484752,0.0,201.58616710000024,0.0059964014516827105,144669,11202.79594935065,-69.7557695188696,4837.804700310711,10533.487963328666,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H03_05,lightgbm,3,9264.678220192574,135.49233609277033,33654.90987076119,0.09081947093334983,0.13115914646600924,21378.621709332292,0.0,6.865157700000054,0.013407032384143355,1330972,11202.79594935065,17.30030376274429,-4861.016090843469,529.7598827658693,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
bdg2,seen_entity,H03_05,nbeats,3,,0.0,,,,,0.0,44.91096430000107,1.653051504413853,4447799,11202.79594935065,,,,NOT_PROMOTED
bdg2,seen_entity,H03_05,ridge,3,28668.912929794962,3.637978807091713e-12,43760.31322235529,0.2810346395888243,0.8238332572555388,65707.29407020396,0.0,3.9944164999997156,0.009923570630932417,9042,11202.79594935065,-155.90855228829466,13972.799034696904,20908.94841201398,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H06_12,catboost,3,15066.801679994785,157.13957214166928,36414.342067493766,0.19974666758551454,0.5382004045666332,28343.68635999288,0.0,46.720842799999446,0.0048434003350125675,494804,8157.480311956524,-84.69920985173792,4307.259742466265,10169.642699096077,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H06_12,deepar,3,8746.741179368435,591.986900075914,42854.77602394682,0.11595907611444999,0.23591816948718056,17475.52042562501,0.0,44.85892260000037,1.9221537672510702,4451245,8157.480311956524,-7.223564690045574,-1774.6381238026206,4136.17718024542,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H06_12,deterministic_baseline,1,8157.480311956524,0.0,20818.97561416036,0.10814700709648706,0.2426102163257538,16930.967160000007,0.0,0.0,0.16984956522245068,0,8157.480311956524,,,,BASELINE
bdg2,seen_entity,H06_12,gradient_boosting,3,17190.51867380587,2.100388043580554e-12,37809.22670348607,0.22790164044692393,0.5706975131872593,32343.974512472596,0.0,201.58616710000024,0.005996401451682708,144669,8157.480311956524,-110.73319231441484,6092.292236036602,12036.954145437476,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H06_12,lightgbm,3,8633.98468683074,96.15232256251436,29059.153591423466,0.11446421780865967,0.2222208848122971,16323.067859556231,0.0,6.865157700000054,0.013407032384143357,1330972,8157.480311956524,-5.8413181111304295,-1770.1393755945446,3128.80658801015,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H06_12,nbeats,3,6104.413677988267,221.46899055180393,18428.194475310767,0.08092867455477204,0.19444882546619094,12180.139021250008,0.0,44.91096430000107,1.6530515044138532,4447799,8157.480311956524,25.167901796331037,-2880.162703120712,-1265.4940732076375,QUALIFIED_CHAMPION_CANDIDATE
bdg2,seen_entity,H06_12,ridge,3,25615.508416590368,0.0,54251.82905324416,0.3395951279770477,1.1668864754336117,53577.508138430574,0.0,3.9944164999997156,0.009923570630932417,9042,8157.480311956524,-214.01250676689205,13760.897189343073,21519.82720018256,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H13_PLUS,catboost,3,15552.799457706204,273.1247562442902,33100.25113071859,0.1564447343223602,0.4500427863418661,33030.42544681494,0.0,46.720842799999446,0.0048434003350125675,494804,14235.109729885764,-9.256617987664884,456.3854404185861,2101.8540543958316,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H13_PLUS,deepar,3,13622.807680723306,433.660659240643,41976.36227540465,0.13703105567141974,0.3222319524565678,26814.031976562506,0.0,44.85892260000037,1.9221537672510702,4451245,14235.109729885764,4.301351101473885,-1725.4895641594628,433.91922248666094,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H13_PLUS,deterministic_baseline,1,14235.109729885764,0.0,43867.996247947674,0.14319016751920954,0.2880890525989969,29734.05800000003,0.0,0.0,0.15592386780750747,0,14235.109729885764,,,,BASELINE
bdg2,seen_entity,H13_PLUS,gradient_boosting,3,20029.835628379595,3.119593428663457,36176.83832374355,0.20147898916357157,0.48874645997823246,42998.251585411424,0.0,201.58616710000024,0.005996401451682709,144669,14235.109729885764,-40.70727945516394,4824.078367735461,6737.111947727353,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,seen_entity,H13_PLUS,lightgbm,3,11136.961892544834,91.6862878508892,41600.75026086541,0.11202607280929934,0.28792487748324364,23001.45410282218,0.0,6.865157700000054,0.013407032384143357,1330972,14235.109729885764,21.764130351847964,-3971.5228582789805,-2200.904832537294,QUALIFIED_CHAMPION_CANDIDATE
bdg2,seen_entity,H13_PLUS,nbeats,3,9670.659515001818,278.0729064417035,25802.424643159924,0.09727661972757135,0.2779626688901956,21640.000511250008,0.0,44.91096430000107,1.653051504413853,4447799,14235.109729885764,32.06473502133358,-5320.326623066309,-3808.642222441431,QUALIFIED_CHAMPION_CANDIDATE
bdg2,seen_entity,H13_PLUS,ridge,3,36025.19595285216,0.0,63966.75906367594,0.36237541833424614,0.8671966241209531,82865.37743406047,0.0,3.9944164999997156,0.009923570630932419,9042,14235.109729885764,-153.07283636331522,20458.0632055473,23125.07664762726,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H00,catboost,3,60781.12474746067,871.9678313978085,111587.18745314048,0.5561228786698951,0.7604127557643456,141175.55231715174,0.0,36.75205660000029,0.012950628233409447,374888,,,,,NOT_PROMOTED
bdg2,unseen_entity,H00,deepar,3,,0.0,,,,,0.0,32.2596838999998,1.9077994987469633,3131181,,,,,NOT_PROMOTED
bdg2,unseen_entity,H00,deterministic_baseline,1,,0.0,,,,,0.0,0.0,0.0004396225690707817,0,,,,,BASELINE
bdg2,unseen_entity,H00,gradient_boosting,3,67382.72348052873,0.0,129863.80155433832,0.6165248555420116,0.8064840399264968,152218.48240642942,0.0,87.8758633999987,0.01305792682908074,139197,,,,,NOT_PROMOTED
bdg2,unseen_entity,H00,lightgbm,3,61993.15691314904,241.33427100591194,137062.9885762446,0.5672124861726139,0.664228675731457,181326.95421289522,0.0,4.943082399999184,0.03175936807096921,957220,,,,,NOT_PROMOTED
bdg2,unseen_entity,H00,nbeats,3,,0.0,,,,,0.0,29.656322999999247,1.996409022557218,3127799,,,,,NOT_PROMOTED
bdg2,unseen_entity,H00,ridge,3,75874.15278311186,0.0,129024.52343483633,0.6942180230737908,0.8996019588338093,165932.73656827825,0.0,2.4847502000011445,0.022014818920904834,9042,,,,,NOT_PROMOTED
bdg2,unseen_entity,H01_02,catboost,3,35547.088431911194,79.47780878135484,91534.37735858103,0.17431016359382542,0.42129636566328604,63568.49946556739,0.0,36.75205660000029,0.012950628233409449,374888,16116.989532727273,-120.5566266561694,2830.6501961287486,42178.975611476126,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H01_02,deepar,3,,0.0,,,,,0.0,32.2596838999998,1.907799498746963,3131181,16116.989532727273,,,,NOT_PROMOTED
bdg2,unseen_entity,H01_02,deterministic_baseline,1,16116.989532727273,0.0,33514.76566008917,0.07903193217837948,0.08903386145759276,42486.860980000005,0.0,0.0,0.020441818097341722,0,16116.989532727273,,,,BASELINE
