dataset_source,model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,model_mae,baseline_mae,mae_difference,relative_mae_improvement_pct,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
bdg2,catboost,17,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,17,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,19809.82134535457,9647.136059935898,10162.68528541867,-105.34406503940403,6907.089688527121,14567.191068575336,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,19664.348546764737,9647.136059935898,10017.21248682884,-103.83612737079402,6718.897209622018,14149.706271777108,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,19696.8828011024,9647.136059935898,10049.746741166504,-104.17336999011167,6687.674698144852,14899.367153904032,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,17,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,16997.946926112043,11202.79594935065,5795.1509767613925,-51.7295057676856,2662.603945126487,9028.138816982382,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,16513.761805179136,11202.79594935065,5310.9658558284855,-47.40750326829194,2535.908658613472,8212.041629494523,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,16536.213698999018,11202.79594935065,5333.417749648371,-47.607916575125245,2307.762832806095,8096.047187826933,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,17,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,15046.998534012548,8157.480311956524,6889.518222056026,-84.45644927831414,4307.259742466265,10005.25622939679,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
