reporting_phase,rank,model_key,MAE_median,relative_improvement,promotion_status,is_phase_champion
H00,1,catboost,49673.427909559556,,NOT_PROMOTED,False
H00,2,lightgbm,50076.34937956775,,NOT_PROMOTED,False
H00,3,gradient_boosting,57255.52370101587,,NOT_PROMOTED,False
H00,4,ridge,68300.13157254517,,NOT_PROMOTED,False
H00,5,deepar,,,NOT_PROMOTED,False
H00,6,deterministic_baseline,,,BASELINE,True
H00,7,nbeats,,,NOT_PROMOTED,False
H01_02,1,deterministic_baseline,9647.136059935898,,BASELINE,True
H01_02,2,lightgbm,11040.147703357827,-14.439639233523833,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H01_02,3,catboost,19696.8828011024,-104.17336999011167,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H01_02,4,gradient_boosting,22198.03915302405,-130.09978313886813,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H01_02,5,ridge,36496.421248697465,-278.31353286562825,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H01_02,6,deepar,,,NOT_PROMOTED,False
H01_02,7,nbeats,,,NOT_PROMOTED,False
H03_05,1,lightgbm,9264.678220192574,17.30030376274429,REJECTED_NOT_STATISTICALLY_SIGNIFICANT,False
H03_05,2,deterministic_baseline,11202.79594935065,,BASELINE,True
H03_05,3,catboost,16536.213698999018,-47.607916575125245,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H03_05,4,gradient_boosting,19017.392471448948,-69.7557695188696,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H03_05,5,ridge,28668.912929794962,-155.90855228829466,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H03_05,6,deepar,,,NOT_PROMOTED,False
H03_05,7,nbeats,,,NOT_PROMOTED,False
H06_12,1,nbeats,6104.413677988267,25.167901796331037,QUALIFIED_CHAMPION_CANDIDATE,True
H06_12,2,deterministic_baseline,8157.480311956524,,BASELINE,False
H06_12,3,lightgbm,8633.98468683074,-5.8413181111304295,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H06_12,4,deepar,8746.741179368435,-7.223564690045574,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H06_12,5,catboost,15066.801679994785,-84.69920985173792,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H06_12,6,gradient_boosting,17190.51867380587,-110.73319231441484,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H06_12,7,ridge,25615.508416590368,-214.01250676689205,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H13_PLUS,1,nbeats,9670.659515001818,32.06473502133358,QUALIFIED_CHAMPION_CANDIDATE,True
H13_PLUS,2,lightgbm,11136.961892544834,21.764130351847964,QUALIFIED_CHAMPION_CANDIDATE,False
H13_PLUS,3,deepar,13622.807680723306,4.301351101473885,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H13_PLUS,4,deterministic_baseline,14235.109729885764,,BASELINE,False
H13_PLUS,5,catboost,15552.799457706204,-9.256617987664884,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H13_PLUS,6,gradient_boosting,20029.835628379595,-40.70727945516394,REJECTED_INSUFFICIENT_IMPROVEMENT,False
H13_PLUS,7,ridge,36025.19595285216,-153.07283636331522,REJECTED_INSUFFICIENT_IMPROVEMENT,False
