model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,mae_difference,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
catboost,17,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,55448.85609688893,49033.08786147089,62272.08163255551,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,56656.370229893575,49940.94361726923,63423.27410808444,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,53597.82450347884,47279.896330140975,60038.60487212217,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,46195.1732689392,40977.32033311404,51104.23294486888,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,47937.34863956655,42066.17106447595,53030.83967404287,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,46480.131695548385,40901.622052009465,51778.48125424495,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,45940.08518631771,42475.88424176112,49681.182853684986,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,48106.01626787669,44192.458931098154,52263.72613047938,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,49645.875461760705,46041.93899812133,53638.042572991275,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,61700.158546153245,50090.12217585078,74300.91084786816,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,62805.861470805416,51294.509234637415,74223.03820692275,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,64058.95234971493,53646.247912836276,75364.85662893632,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,144839.7252292548,109053.24565028492,188404.02319975456,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,143729.03501972725,109090.72200239734,179587.9631428942,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,154361.95313087743,113669.45377142848,200399.52575488563,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,112650.69134477027,83399.20900404647,144266.7104407287,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,115681.5152457473,87704.6965213597,148106.00960194407,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,119658.19432334075,85222.8502986894,157907.8959247221,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,17,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,95824.39961973843,85009.9257827613,108415.0732542022,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,98781.2624035924,87465.60093616041,110727.62561274941,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,97213.97096963237,84164.19339491223,110867.94438413295,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
