reporting_phase,track,model_key,prediction_micro_count,eligible_prediction_micro_count,successful_prediction_micro_count,skipped_prediction_micro_count,failed_prediction_micro_count,micro_wmape,micro_mae,failure_reason_counts,ineligibility_reason_counts,common_cohort_observation_count,common_cohort_wmape,is_phase_champion,is_common_cohort_champion,is_product_routing_recommendation,available_cohort_rank,common_cohort_rank
H00,all_tracks,lightgbm,20583,20577,20577,6,0,0.5287071167847424,52986.13977350519,"{""<NONE>"":20583}","{""<NONE>"":20577,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":6}",6859,0.5287071167847424,True,True,True,1.0,1.0
H00,all_tracks,gradient_boosting,20583,20577,20577,6,0,0.7356573970509669,73726.34948174094,"{""<NONE>"":20583}","{""<NONE>"":20577,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":6}",6859,0.7356573970509669,False,False,False,2.0,2.0
H00,all_tracks,ridge,20583,20577,20577,6,0,0.7521121575760715,75375.41796113826,"{""<NONE>"":20583}","{""<NONE>"":20577,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":6}",6859,0.7521121575760715,False,False,False,3.0,3.0
H00,all_tracks,catboost,20583,20577,20577,6,0,0.847945936445452,84979.71841594673,"{""<NONE>"":20583}","{""<NONE>"":20577,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":6}",6859,0.847945936445452,False,False,False,4.0,4.0
H00,all_tracks,deepar,20583,0,0,20583,0,,,"{""<NONE>"":20583}","{""MINIMUM_CONTEXT_6_MONTHS"":20583}",6859,,False,False,False,,
H00,all_tracks,deterministic_baseline,6861,0,0,6861,0,,,"{""<NONE>"":6861}","{""ZERO_HISTORY_NO_DETERMINISTIC_PATH"":6861}",6859,,False,False,False,,
H00,all_tracks,nbeats,20583,0,0,20583,0,,,"{""<NONE>"":20583}","{""MINIMUM_CONTEXT_6_MONTHS"":20583}",6859,,False,False,False,,
H00,seen_entity,lightgbm,17877,17874,17874,3,0,0.5200132007172596,51401.11405383312,"{""<NONE>"":17877}","{""<NONE>"":17874,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,1.0,
H00,seen_entity,gradient_boosting,17877,17874,17874,3,0,0.7326910110772145,72423.41958752548,"{""<NONE>"":17877}","{""<NONE>"":17874,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,2.0,
H00,seen_entity,ridge,17877,17874,17874,3,0,0.7518868652351816,74320.84889811501,"{""<NONE>"":17877}","{""<NONE>"":17874,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,3.0,
